name,trait,condition,checkpoint,position,layer,depth_frac,target,rank,logprob
Maria,generous,direct,reintro_entity_mention,203,26,0.7878787878787878,'generous' (leading-space),13652,-45.09952926635742
Maria,generous,direct,distance_0_trigger_end,16,27,0.8181818181818182,'generous' (leading-space),88,-29.43731117248535
Maria,generous,direct,distance_1_filler_end,36,27,0.8181818181818182,'generous' (leading-space),25790,-36.306182861328125
Maria,generous,direct,distance_2_filler_end,57,27,0.8181818181818182,'generous' (leading-space),17554,-32.09589385986328
Maria,generous,direct,distance_3_filler_end,72,27,0.8181818181818182,'generous' (leading-space),18670,-30.996944427490234
Maria,generous,direct,distance_4_filler_end,91,27,0.8181818181818182,'generous' (leading-space),13538,-39.592105865478516
Maria,generous,direct,distance_5_filler_end,109,27,0.8181818181818182,'generous' (leading-space),22085,-33.84113693237305
Maria,generous,direct,distance_6_filler_end,126,27,0.8181818181818182,'generous' (leading-space),14724,-33.20490264892578
Maria,generous,direct,distance_7_filler_end,143,27,0.8181818181818182,'generous' (leading-space),12250,-42.53238296508789
Maria,generous,direct,distance_8_filler_end,163,27,0.8181818181818182,'generous' (leading-space),18749,-32.5040397644043
Maria,generous,direct,distance_9_filler_end,178,27,0.8181818181818182,'generous' (leading-space),19118,-31.16212272644043
Maria,generous,direct,distance_10_filler_end,198,27,0.8181818181818182,'generous' (leading-space),17705,-32.25346374511719
Maria,generous,direct,reintro_sentence_end,209,27,0.8181818181818182,'generous' (leading-space),41417,-57.943302154541016
Maria,generous,direct,reintro_entity_mention,203,27,0.8181818181818182,'generous' (leading-space),18492,-50.06669998168945
Maria,generous,direct,distance_0_trigger_end,16,28,0.8484848484848485,'generous' (leading-space),103,-24.261137008666992
Maria,generous,direct,distance_1_filler_end,36,28,0.8484848484848485,'generous' (leading-space),24556,-27.90213966369629
Maria,generous,direct,distance_2_filler_end,57,28,0.8484848484848485,'generous' (leading-space),15114,-25.229280471801758
Maria,generous,direct,distance_3_filler_end,72,28,0.8484848484848485,'generous' (leading-space),17471,-24.101600646972656
